duration,price,date,origination,destination,depart,arrive,mode
1h 41m,      $149   ,10-27-2019,Boston,Philadelphia,   7:38 AM   ,   9:19 AM   ,plane
1h 42m,      $149   ,10-27-2019,Boston,Philadelphia,   8:08 AM   ,   9:50 AM   ,plane
1h 35m,      $149   ,10-27-2019,Boston,Philadelphia,   10:09 AM   ,   11:44 AM   ,plane
7h 57m,   $178   ,10-27-2019,Boston,Philadelphia,   5:00 AM   ,   12:57 PM   ,plane
1h 41m,      $184   ,10-27-2019,Boston,Philadelphia,   10:45 AM   ,   12:26 PM   ,plane
1h 40m,      $189   ,10-27-2019,Boston,Philadelphia,   5:36 PM   ,   7:16 PM   ,plane
1h 41m,      $189   ,10-27-2019,Boston,Philadelphia,   6:39 PM   ,   8:20 PM   ,plane
1h 37m,      $189   ,10-27-2019,Boston,Philadelphia,   9:38 PM   ,   11:15 PM   ,plane
1h 33m,      $194   ,10-27-2019,Boston,Philadelphia,   11:06 AM   ,   12:39 PM   ,plane
1h 46m,      $194   ,10-27-2019,Boston,Philadelphia,   4:54 PM   ,   6:40 PM   ,plane
1h 51m,      $194   ,10-27-2019,Boston,Philadelphia,   5:50 PM   ,   7:41 PM   ,plane
1h 47m,      $194   ,10-27-2019,Boston,Philadelphia,   7:12 PM   ,   8:59 PM   ,plane
1h 47m,      $194   ,10-27-2019,Boston,Philadelphia,   7:47 PM   ,   9:34 PM   ,plane
1h 37m,      $209   ,10-27-2019,Boston,Philadelphia,   2:10 PM   ,   3:47 PM   ,plane
1h 49m,      $219   ,10-27-2019,Boston,Philadelphia,   6:55 PM   ,   8:44 PM   ,plane
1h 36m,      $244   ,10-27-2019,Boston,Philadelphia,   12:33 PM   ,   2:09 PM   ,plane
1h 48m,      $314   ,10-27-2019,Boston,Philadelphia,   3:54 PM   ,   5:42 PM   ,plane
1h 5m,      $170   ,11-03-2019,NYC,Philadelphia,   5:45 AM   ,   6:50 AM   ,plane
1h 14m,      $170   ,11-03-2019,NYC,Philadelphia,   1:00 PM   ,   2:14 PM   ,plane
1h 16m,      $170   ,11-03-2019,NYC,Philadelphia,   3:15 PM   ,   4:31 PM   ,plane
18h 27m,   $157   ,11-03-2019,NYC,Philadelphia,   6:30 PM   ,   12:57 PM+1   ,plane
4h 58m,      $200   ,11-03-2019,NYC,Philadelphia,   5:01 AM   ,   9:59 AM   ,plane
3h 13m,      $208   ,11-03-2019,NYC,Philadelphia,   5:00 PM   ,   8:13 PM   ,plane
7h 36m,      $211   ,11-03-2019,NYC,Philadelphia,   11:00 PM   ,   6:36 AM+1   ,plane
4h 57m,      $240   ,11-03-2019,NYC,Philadelphia,   9:13 AM   ,   2:10 PM   ,plane
4h 40m,      $257   ,11-03-2019,NYC,Philadelphia,   9:30 AM   ,   2:10 PM   ,plane
