,depart,arrive,duration,price,carrier,date,origination,destination
0,1:05 PM,2:30 PM,1h 25m,$80.00,Amtrak Northeast Regional,10-17-2019,Philadelphia,NYC
0,9:38 AM,10:48 AM,1h 10m,$135.00,Amtrak Acela,10-17-2019,Philadelphia,NYC
0,9:13 PM,10:37 PM,1h 24m,$100.00,Amtrak Northeast Regional,10-17-2019,Philadelphia,NYC
0,9:20 AM,10:44 AM,1h 24m,$100.00,Amtrak Northeast Regional,10-17-2019,Philadelphia,NYC
0,1:58 PM,3:20 PM,1h 22m,$120.00,Amtrak Northeast Regional,10-17-2019,Philadelphia,NYC
0,5:35 PM,6:52 PM,1h 17m,$295.00,Amtrak Acela,10-17-2019,Philadelphia,NYC
0,3:01 PM,4:30 PM,1h 29m,$100.00,Amtrak Northeast Regional,10-17-2019,Philadelphia,NYC
0,11:38 AM,12:49 PM,1h 11m,$135.00,Amtrak Acela,10-17-2019,Philadelphia,NYC
0,7:34 PM,8:49 PM,1h 15m,$135.00,Amtrak Acela,10-17-2019,Philadelphia,NYC
0,9:35 PM,10:50 PM,1h 15m,$135.00,Amtrak Acela,10-17-2019,Philadelphia,NYC
0,6:34 PM,7:50 PM,1h 16m,$198.00,Amtrak Acela,10-17-2019,Philadelphia,NYC
0,12:38 PM,1:50 PM,1h 12m,$135.00,Amtrak Acela,10-17-2019,Philadelphia,NYC
0,8:35 PM,9:52 PM,1h 17m,$198.00,Amtrak Acela,10-17-2019,Philadelphia,NYC
0,4:36 PM,5:49 PM,1h 13m,$198.00,Amtrak Acela,10-17-2019,Philadelphia,NYC
0,1:32 PM,2:46 PM,1h 14m,$135.00,Amtrak Acela,10-17-2019,Philadelphia,NYC
0,2:32 PM,3:46 PM,1h 14m,$135.00,Amtrak Acela,10-17-2019,Philadelphia,NYC
0,7:38 AM,8:52 AM,1h 14m,$176.00,Amtrak Acela,10-17-2019,Philadelphia,NYC
0,8:38 AM,9:49 AM,1h 11m,$156.00,Amtrak Acela,10-17-2019,Philadelphia,NYC
0,3:33 PM,4:47 PM,1h 14m,$198.00,Amtrak Acela,10-17-2019,Philadelphia,NYC
0,10:38 AM,11:49 AM,1h 11m,$156.00,Amtrak Acela,10-17-2019,Philadelphia,NYC
0,6:34 AM,7:47 AM,1h 13m,$156.00,Amtrak Acela,10-17-2019,Philadelphia,NYC
